flags,turno,teacher,group,subject,total,febrero,marzo,abril,mayo,junio,julio,partial,tieneGrades,docId,teacherId,groupId,subjectId
"MUY_BAJO","MATUTINO","(desconocido)","2-1","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","5","2","P1","true","MATUTINO_2-1_G2_temas_selectos_de_igualdad_y_derechos_hu_P1","","MATUTINO_2-1","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","2-1","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","5","2","P2","true","MATUTINO_2-1_G2_temas_selectos_de_igualdad_y_derechos_hu_P2","","MATUTINO_2-1","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","2-1","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","5","2","P3","true","MATUTINO_2-1_G2_temas_selectos_de_igualdad_y_derechos_hu_P3","","MATUTINO_2-1","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","2-1","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","5","2","SEMESTRE","true","MATUTINO_2-1_G2_temas_selectos_de_igualdad_y_derechos_hu_SEMESTRE","","MATUTINO_2-1","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","2-2","educación integral en sexualidad y género ii","19","3","3","3","4","4","2","P1","true","MATUTINO_2-2_G2_educación_integral_en_sexualidad_y_géner_P1","","MATUTINO_2-2","G2_educación_integral_en_sexualidad_y_géner"
"MUY_BAJO","MATUTINO","(desconocido)","2-2","educación integral en sexualidad y género ii","19","3","3","3","4","4","2","P2","true","MATUTINO_2-2_G2_educación_integral_en_sexualidad_y_géner_P2","","MATUTINO_2-2","G2_educación_integral_en_sexualidad_y_géner"
"MUY_BAJO","MATUTINO","(desconocido)","2-2","educación integral en sexualidad y género ii","19","3","3","3","4","4","2","P3","true","MATUTINO_2-2_G2_educación_integral_en_sexualidad_y_géner_P3","","MATUTINO_2-2","G2_educación_integral_en_sexualidad_y_géner"
"MUY_BAJO","MATUTINO","(desconocido)","2-2","educación integral en sexualidad y género ii","19","3","3","3","4","4","2","SEMESTRE","true","MATUTINO_2-2_G2_educación_integral_en_sexualidad_y_géner_SEMESTRE","","MATUTINO_2-2","G2_educación_integral_en_sexualidad_y_géner"
"MUY_BAJO","MATUTINO","(desconocido)","2-3","educación integral en sexualidad y género ii","19","3","3","3","4","4","2","P1","true","MATUTINO_2-3_G2_educación_integral_en_sexualidad_y_géner_P1","","MATUTINO_2-3","G2_educación_integral_en_sexualidad_y_géner"
"MUY_BAJO","MATUTINO","(desconocido)","2-3","educación integral en sexualidad y género ii","19","3","3","3","4","4","2","P2","true","MATUTINO_2-3_G2_educación_integral_en_sexualidad_y_géner_P2","","MATUTINO_2-3","G2_educación_integral_en_sexualidad_y_géner"
"MUY_BAJO","MATUTINO","(desconocido)","2-3","educación integral en sexualidad y género ii","19","3","3","3","4","4","2","P3","true","MATUTINO_2-3_G2_educación_integral_en_sexualidad_y_géner_P3","","MATUTINO_2-3","G2_educación_integral_en_sexualidad_y_géner"
"MUY_BAJO","MATUTINO","(desconocido)","2-3","educación integral en sexualidad y género ii","19","3","3","3","4","4","2","SEMESTRE","true","MATUTINO_2-3_G2_educación_integral_en_sexualidad_y_géner_SEMESTRE","","MATUTINO_2-3","G2_educación_integral_en_sexualidad_y_géner"
"MUY_BAJO","MATUTINO","(desconocido)","3-1","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P1","true","MATUTINO_3-1_G3_temas_selectos_de_igualdad_y_derechos_hu_P1","","MATUTINO_3-1","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-1","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P2","true","MATUTINO_3-1_G3_temas_selectos_de_igualdad_y_derechos_hu_P2","","MATUTINO_3-1","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-1","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P3","true","MATUTINO_3-1_G3_temas_selectos_de_igualdad_y_derechos_hu_P3","","MATUTINO_3-1","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-1","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","SEMESTRE","true","MATUTINO_3-1_G3_temas_selectos_de_igualdad_y_derechos_hu_SEMESTRE","","MATUTINO_3-1","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-2","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P1","true","MATUTINO_3-2_G3_temas_selectos_de_igualdad_y_derechos_hu_P1","","MATUTINO_3-2","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-2","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P2","true","MATUTINO_3-2_G3_temas_selectos_de_igualdad_y_derechos_hu_P2","","MATUTINO_3-2","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-2","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P3","true","MATUTINO_3-2_G3_temas_selectos_de_igualdad_y_derechos_hu_P3","","MATUTINO_3-2","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-2","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","SEMESTRE","true","MATUTINO_3-2_G3_temas_selectos_de_igualdad_y_derechos_hu_SEMESTRE","","MATUTINO_3-2","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-3","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P1","true","MATUTINO_3-3_G3_temas_selectos_de_igualdad_y_derechos_hu_P1","","MATUTINO_3-3","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-3","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P2","true","MATUTINO_3-3_G3_temas_selectos_de_igualdad_y_derechos_hu_P2","","MATUTINO_3-3","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-3","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","P3","true","MATUTINO_3-3_G3_temas_selectos_de_igualdad_y_derechos_hu_P3","","MATUTINO_3-3","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","MATUTINO","(desconocido)","3-3","temas selectos de igualdad y derechos humanos vi","19","2","4","3","3","5","2","SEMESTRE","true","MATUTINO_3-3_G3_temas_selectos_de_igualdad_y_derechos_hu_SEMESTRE","","MATUTINO_3-3","G3_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-1","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P1","true","VESPERTINO_1-1_G1_temas_selectos_de_igualdad_y_derechos_hu_P1","","VESPERTINO_1-1","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-1","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P2","true","VESPERTINO_1-1_G1_temas_selectos_de_igualdad_y_derechos_hu_P2","","VESPERTINO_1-1","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-1","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P3","true","VESPERTINO_1-1_G1_temas_selectos_de_igualdad_y_derechos_hu_P3","","VESPERTINO_1-1","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-1","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","SEMESTRE","true","VESPERTINO_1-1_G1_temas_selectos_de_igualdad_y_derechos_hu_SEMESTRE","","VESPERTINO_1-1","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-2","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P1","true","VESPERTINO_1-2_G1_temas_selectos_de_igualdad_y_derechos_hu_P1","","VESPERTINO_1-2","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-2","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P2","true","VESPERTINO_1-2_G1_temas_selectos_de_igualdad_y_derechos_hu_P2","","VESPERTINO_1-2","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-2","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P3","true","VESPERTINO_1-2_G1_temas_selectos_de_igualdad_y_derechos_hu_P3","","VESPERTINO_1-2","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-2","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","SEMESTRE","true","VESPERTINO_1-2_G1_temas_selectos_de_igualdad_y_derechos_hu_SEMESTRE","","VESPERTINO_1-2","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-3","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P1","true","VESPERTINO_1-3_G1_temas_selectos_de_igualdad_y_derechos_hu_P1","","VESPERTINO_1-3","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-3","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P2","true","VESPERTINO_1-3_G1_temas_selectos_de_igualdad_y_derechos_hu_P2","","VESPERTINO_1-3","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-3","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","P3","true","VESPERTINO_1-3_G1_temas_selectos_de_igualdad_y_derechos_hu_P3","","VESPERTINO_1-3","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","1-3","temas selectos de igualdad y derechos humanos ii","19","2","4","3","3","5","2","SEMESTRE","true","VESPERTINO_1-3_G1_temas_selectos_de_igualdad_y_derechos_hu_SEMESTRE","","VESPERTINO_1-3","G1_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","2-1","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","4","3","P1","true","VESPERTINO_2-1_G2_temas_selectos_de_igualdad_y_derechos_hu_P1","","VESPERTINO_2-1","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","2-1","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","4","3","P2","true","VESPERTINO_2-1_G2_temas_selectos_de_igualdad_y_derechos_hu_P2","","VESPERTINO_2-1","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","2-1","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","4","3","P3","true","VESPERTINO_2-1_G2_temas_selectos_de_igualdad_y_derechos_hu_P3","","VESPERTINO_2-1","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","2-1","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","4","3","SEMESTRE","true","VESPERTINO_2-1_G2_temas_selectos_de_igualdad_y_derechos_hu_SEMESTRE","","VESPERTINO_2-1","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","2-2","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","4","3","P1","true","VESPERTINO_2-2_G2_temas_selectos_de_igualdad_y_derechos_hu_P1","","VESPERTINO_2-2","G2_temas_selectos_de_igualdad_y_derechos_hu"
"MUY_BAJO","VESPERTINO","(desconocido)","2-2","temas selectos de igualdad y derechos humanos iv","19","2","4","3","3","4","3","P2","true","VESPERTINO_2-2_G2_temas_selectos_de_igualdad_y_derechos_hu_P2","","VESPERTINO_2-2","G2_temas_selectos_de_igualdad_y_derechos_hu"
